"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)","Address","ddress","lat","long"
"11442",13," Budai Nagy Antal utca",44,1,1,140000,"renovated","very high",NA,NA,5,"Yes","3 or more","No","Yes",28000,"immediately","1 év","street","No","Yes","Yes","No","street","1950 elott",NA,NA," Budai Nagy Antal utca,13"," Budai Nagy Antal utca, 13",47.9465092,21.7312278432523
"11443",3," Csillaghegy",120,4,NA,280000,"like new",NA,NA,1,NA,NA,NA,NA,NA,NA,"not immediately","1 év",NA,"Yes",NA,NA,NA,"included",NA,NA,NA," Csillaghegy,3"," Csillaghegy, 3",47.5861629,19.0507049
"11444",8," Rákóczi út",95,3,NA,250000,"fair","high",NA,2,2,"No",NA,"No","Yes",20000,"immediately",NA,"yard",NA,"Yes","No",NA,"included",NA,NA,NA," Rákóczi út,8"," Rákóczi út, 8",47.969442,19.3508335958929
"11445",3," Remetehegyi út",64,3,NA,2e+05,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA," Remetehegyi út,3"," Remetehegyi út, 3",47.5519435,19.0168638
"11446",9," Thaly Kálmán utca",70,2,NA,180000,"renovated","high",NA,3,NA,"Yes",NA,NA,"Yes",25000,"immediately","1 év","street",NA,"Yes","No","No",NA,NA,"3",NA," Thaly Kálmán utca,9"," Thaly Kálmán utca, 9",47.478558,19.0754925
"11447",5," Ferenciek tere 2.",30,1,NA,70000,"renovated",NA,NA,NA,NA,"Yes",NA,NA,"Yes",9000,"immediately","nincs",NA,NA,NA,NA,"No",NA,NA,NA,NA," Ferenciek tere 2.,5"," Ferenciek tere 2., 5",47.4925396,19.0549489
"11448",7," Kazinczy utca 24-26",16,1,NA,70000,"renovated",NA,NA,NA,NA,"Yes",NA,"Yes","Yes",12000,"immediately","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA," Kazinczy utca 24-26,7"," Kazinczy utca 24-26, 7",47.4978015,19.0628067
"11449",3," Velence utca 1.",36,1,NA,95000,"good","high","D",2,4,"No","3 or more","No","Partially",25000,"immediately","1 év","street","Yes","Yes","Yes","No","street","1950-1980 ","1",NA," Velence utca 1.,3"," Velence utca 1., 3",47.5450359,19.0354743
"11450",6," Izabella utca",29,1,NA,140000,"renovated","high",NA,0.5,3,"Yes","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA," Izabella utca,6"," Izabella utca, 6",47.50204565,19.0743471547588
"11451",9," Lónyay utca",33,1,NA,120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA," Lónyay utca,9"," Lónyay utca, 9",47.48721295,19.0610743316421
"11452",5," Széchenyi utca",51,3,NA,220000,"renovated","high",NA,2,5,"Yes",NA,"Yes","Yes",25000,"immediately",NA,"yard","No","Yes","Yes",NA,"street",NA,NA,NA," Széchenyi utca,5"," Széchenyi utca, 5",47.9988884,17.6011706
"11453",9," Ráday utca",86,2,1,160000,"renovated","high",NA,5,6,"Yes","3 or more","Yes","Yes",40000,"immediately","1 év","street","No","Yes","No","No","street",NA,NA,NA," Ráday utca,9"," Ráday utca, 9",47.4875869,19.0628292
"11454",14," Zászlós utca",30,1,NA,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,22000,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA," Zászlós utca,14"," Zászlós utca, 14",47.5031492,19.1098648
